instance,fitness_func,run,valid,cover_size,time,initial_temp,cooling_rate,iters_per_temp
20_nodes,CoverSizeMin,0,True,12,0.042017221450805664,100.0,0.95,50
20_nodes,CoverSizeMin,1,True,12,0.04039287567138672,100.0,0.95,50
20_nodes,CoverSizeMin,2,True,12,0.0383610725402832,100.0,0.95,50
20_nodes,CoverSizeMin,3,True,12,0.038748741149902344,100.0,0.95,50
20_nodes,CoverSizeMin,4,True,13,0.038156986236572266,100.0,0.95,50
20_nodes,ConstraintPenalty,0,True,14,0.046117544174194336,100.0,0.95,50
20_nodes,ConstraintPenalty,1,True,14,0.04504966735839844,100.0,0.95,50
20_nodes,ConstraintPenalty,2,True,14,0.048398494720458984,100.0,0.95,50
20_nodes,ConstraintPenalty,3,True,13,0.04683423042297363,100.0,0.95,50
20_nodes,ConstraintPenalty,4,True,14,0.04643058776855469,100.0,0.95,50
20_nodes,EdgeCoverage,0,True,13,0.04896736145019531,100.0,0.95,50
20_nodes,EdgeCoverage,1,True,12,0.04877281188964844,100.0,0.95,50
20_nodes,EdgeCoverage,2,True,12,0.05533242225646973,100.0,0.95,50
20_nodes,EdgeCoverage,3,True,12,0.05091142654418945,100.0,0.95,50
20_nodes,EdgeCoverage,4,True,12,0.04987359046936035,100.0,0.95,50
20_nodes,CoverSizeMin,0,True,13,0.03833627700805664,50.0,0.95,50
20_nodes,CoverSizeMin,1,True,13,0.036520957946777344,50.0,0.95,50
20_nodes,CoverSizeMin,2,True,13,0.037363290786743164,50.0,0.95,50
20_nodes,CoverSizeMin,3,True,13,0.038953542709350586,50.0,0.95,50
20_nodes,CoverSizeMin,4,True,12,0.03882002830505371,50.0,0.95,50
20_nodes,CoverSizeMin,0,True,12,0.03925180435180664,100.0,0.95,50
20_nodes,CoverSizeMin,1,True,12,0.036197662353515625,100.0,0.95,50
20_nodes,CoverSizeMin,2,True,12,0.03907036781311035,100.0,0.95,50
20_nodes,CoverSizeMin,3,True,13,0.038768768310546875,100.0,0.95,50
20_nodes,CoverSizeMin,4,True,12,0.037546634674072266,100.0,0.95,50
20_nodes,CoverSizeMin,0,True,13,0.037506818771362305,200.0,0.95,50
20_nodes,CoverSizeMin,1,True,12,0.03749203681945801,200.0,0.95,50
20_nodes,CoverSizeMin,2,True,12,0.03824186325073242,200.0,0.95,50
20_nodes,CoverSizeMin,3,True,12,0.03919029235839844,200.0,0.95,50
20_nodes,CoverSizeMin,4,True,13,0.03720450401306152,200.0,0.95,50
20_nodes,CoverSizeMin,0,True,12,0.04008793830871582,500.0,0.95,50
20_nodes,CoverSizeMin,1,True,12,0.04098939895629883,500.0,0.95,50
20_nodes,CoverSizeMin,2,True,12,0.040091753005981445,500.0,0.95,50
20_nodes,CoverSizeMin,3,True,12,0.0381321907043457,500.0,0.95,50
20_nodes,CoverSizeMin,4,True,12,0.037125349044799805,500.0,0.95,50
20_nodes,CoverSizeMin,0,True,13,0.02089834213256836,100.0,0.85,50
20_nodes,CoverSizeMin,1,True,12,0.020823240280151367,100.0,0.85,50
20_nodes,CoverSizeMin,2,True,12,0.02270674705505371,100.0,0.85,50
20_nodes,CoverSizeMin,3,True,12,0.023080110549926758,100.0,0.85,50
20_nodes,CoverSizeMin,4,True,12,0.022422313690185547,100.0,0.85,50
20_nodes,CoverSizeMin,0,True,13,0.0353543758392334,100.0,0.9,50
20_nodes,CoverSizeMin,1,True,12,0.03657341003417969,100.0,0.9,50
20_nodes,CoverSizeMin,2,True,12,0.03552579879760742,100.0,0.9,50
20_nodes,CoverSizeMin,3,True,12,0.03407144546508789,100.0,0.9,50
20_nodes,CoverSizeMin,4,True,13,0.03526735305786133,100.0,0.9,50
20_nodes,CoverSizeMin,0,True,12,0.03889632225036621,100.0,0.95,50
20_nodes,CoverSizeMin,1,True,12,0.039110422134399414,100.0,0.95,50
20_nodes,CoverSizeMin,2,True,12,0.03620338439941406,100.0,0.95,50
20_nodes,CoverSizeMin,3,True,12,0.038143157958984375,100.0,0.95,50
20_nodes,CoverSizeMin,4,True,12,0.038118839263916016,100.0,0.95,50
20_nodes,CoverSizeMin,0,True,13,0.03883814811706543,100.0,0.98,50
20_nodes,CoverSizeMin,1,True,12,0.0385737419128418,100.0,0.98,50
20_nodes,CoverSizeMin,2,True,13,0.03766512870788574,100.0,0.98,50
20_nodes,CoverSizeMin,3,False,8,0.03405261039733887,100.0,0.98,50
20_nodes,CoverSizeMin,4,True,12,0.03681612014770508,100.0,0.98,50
20_nodes,CoverSizeMin,0,True,12,0.032808780670166016,100.0,0.95,25
20_nodes,CoverSizeMin,1,True,12,0.03348135948181152,100.0,0.95,25
20_nodes,CoverSizeMin,2,True,12,0.031961679458618164,100.0,0.95,25
20_nodes,CoverSizeMin,3,True,12,0.0352320671081543,100.0,0.95,25
20_nodes,CoverSizeMin,4,True,12,0.03322958946228027,100.0,0.95,25
20_nodes,CoverSizeMin,0,True,12,0.038307905197143555,100.0,0.95,50
20_nodes,CoverSizeMin,1,True,13,0.03809499740600586,100.0,0.95,50
20_nodes,CoverSizeMin,2,True,12,0.03625679016113281,100.0,0.95,50
20_nodes,CoverSizeMin,3,True,12,0.03673219680786133,100.0,0.95,50
20_nodes,CoverSizeMin,4,True,12,0.03684878349304199,100.0,0.95,50
20_nodes,CoverSizeMin,0,True,13,0.03725385665893555,100.0,0.95,100
20_nodes,CoverSizeMin,1,True,12,0.03627800941467285,100.0,0.95,100
20_nodes,CoverSizeMin,2,True,13,0.037841796875,100.0,0.95,100
20_nodes,CoverSizeMin,3,True,12,0.03909039497375488,100.0,0.95,100
20_nodes,CoverSizeMin,4,True,12,0.04039812088012695,100.0,0.95,100
20_nodes,CoverSizeMin,0,True,13,0.036698341369628906,100.0,0.95,200
20_nodes,CoverSizeMin,1,True,12,0.03623557090759277,100.0,0.95,200
