instance,fitness_func,run,valid,cover_size,time,population_size,generations,mutation_rate
50_nodes,CoverSizeMin,2,False,24,0.657362699508667,100,300,0.1
50_nodes,CoverSizeMin,3,False,23,0.6482760906219482,100,300,0.1
50_nodes,CoverSizeMin,4,False,26,0.6412808895111084,100,300,0.1
50_nodes,ConstraintPenalty,0,False,24,0.8887765407562256,100,300,0.1
50_nodes,ConstraintPenalty,1,False,22,0.8939769268035889,100,300,0.1
50_nodes,ConstraintPenalty,2,False,24,0.8985705375671387,100,300,0.1
50_nodes,ConstraintPenalty,3,False,28,0.9027845859527588,100,300,0.1
50_nodes,ConstraintPenalty,4,False,31,0.9193634986877441,100,300,0.1
50_nodes,EdgeCoverage,0,True,39,0.9455075263977051,100,300,0.1
50_nodes,EdgeCoverage,1,True,40,1.0213866233825684,100,300,0.1
50_nodes,EdgeCoverage,2,True,41,0.993894100189209,100,300,0.1
50_nodes,EdgeCoverage,3,True,42,0.9580025672912598,100,300,0.1
50_nodes,EdgeCoverage,4,True,40,0.9511213302612305,100,300,0.1
50_nodes,CoverSizeMin,0,False,20,0.3217010498046875,50,300,0.1
50_nodes,CoverSizeMin,1,False,29,0.3323683738708496,50,300,0.1
50_nodes,CoverSizeMin,2,False,27,0.33092236518859863,50,300,0.1
50_nodes,CoverSizeMin,3,False,19,0.3334767818450928,50,300,0.1
50_nodes,CoverSizeMin,4,False,24,0.3297710418701172,50,300,0.1
50_nodes,CoverSizeMin,0,False,26,0.6502816677093506,100,300,0.1
50_nodes,CoverSizeMin,1,False,25,0.6594924926757812,100,300,0.1
50_nodes,CoverSizeMin,2,False,26,0.6426005363464355,100,300,0.1
50_nodes,CoverSizeMin,3,False,29,0.6583366394042969,100,300,0.1
50_nodes,CoverSizeMin,4,False,26,0.655893087387085,100,300,0.1
50_nodes,CoverSizeMin,0,False,31,1.279555320739746,200,300,0.1
50_nodes,CoverSizeMin,1,False,27,1.3221962451934814,200,300,0.1
50_nodes,CoverSizeMin,2,False,21,1.2835745811462402,200,300,0.1
50_nodes,CoverSizeMin,3,False,30,1.2707974910736084,200,300,0.1
50_nodes,CoverSizeMin,4,False,29,1.3085739612579346,200,300,0.1
50_nodes,CoverSizeMin,0,False,22,1.9295401573181152,300,300,0.1
50_nodes,CoverSizeMin,1,False,31,1.9233832359313965,300,300,0.1
50_nodes,CoverSizeMin,2,False,23,1.9182944297790527,300,300,0.1
50_nodes,CoverSizeMin,3,False,21,1.9451708793640137,300,300,0.1
50_nodes,CoverSizeMin,4,False,25,1.9445757865905762,300,300,0.1
50_nodes,CoverSizeMin,0,False,32,0.22447752952575684,100,100,0.1
50_nodes,CoverSizeMin,1,False,24,0.22768950462341309,100,100,0.1
50_nodes,CoverSizeMin,2,False,23,0.22090864181518555,100,100,0.1
50_nodes,CoverSizeMin,3,False,25,0.22322630882263184,100,100,0.1
50_nodes,CoverSizeMin,4,False,21,0.21715235710144043,100,100,0.1
50_nodes,CoverSizeMin,0,False,26,0.4360175132751465,100,200,0.1
50_nodes,CoverSizeMin,1,False,24,0.43582725524902344,100,200,0.1
50_nodes,CoverSizeMin,2,False,19,0.4327685832977295,100,200,0.1
50_nodes,CoverSizeMin,3,False,27,0.43842267990112305,100,200,0.1
50_nodes,CoverSizeMin,4,False,25,0.443697452545166,100,200,0.1
50_nodes,CoverSizeMin,0,False,22,0.6524646282196045,100,300,0.1
50_nodes,CoverSizeMin,1,False,24,0.6524624824523926,100,300,0.1
50_nodes,CoverSizeMin,2,False,24,0.6650028228759766,100,300,0.1
50_nodes,CoverSizeMin,3,False,25,0.6542119979858398,100,300,0.1
50_nodes,CoverSizeMin,4,False,26,0.6568565368652344,100,300,0.1
50_nodes,CoverSizeMin,0,False,33,1.087348222732544,100,500,0.1
50_nodes,CoverSizeMin,1,False,25,1.0861897468566895,100,500,0.1
50_nodes,CoverSizeMin,2,False,30,1.0851833820343018,100,500,0.1
50_nodes,CoverSizeMin,3,False,25,1.0898993015289307,100,500,0.1
