instance,algorithm,encoding,fitness_func,run,cover_size,is_valid,fitness,time_sec
small_20nodes,ENGA,BinaryEncoding,CoverSizeMinimization,1,13,True,0.6060606060606061,1.686882495880127
small_20nodes,ENGA,BinaryEncoding,CoverSizeMinimization,2,13,True,0.6060606060606061,1.6041934490203857
small_20nodes,ENGA,BinaryEncoding,CoverSizeMinimization,3,13,True,0.6060606060606061,1.5086414813995361
small_20nodes,ENGA,BinaryEncoding,CoverSizeMinimization,1,13,True,0.6060606060606061,1.5693316459655762
small_20nodes,ENGA,BinaryEncoding,CoverSizeMinimization,2,13,True,0.6060606060606061,1.571584701538086
small_20nodes,ENGA,BinaryEncoding,CoverSizeMinimization,3,13,True,0.6060606060606061,1.4634120464324951
small_20nodes,ENGA,BinaryEncoding,ConstraintPenalty,1,0,False,-inf,0.0011889934539794922
small_20nodes,ENGA,BinaryEncoding,ConstraintPenalty,2,0,False,-inf,0.0012705326080322266
small_20nodes,ENGA,BinaryEncoding,ConstraintPenalty,3,0,False,-inf,0.001180410385131836
small_20nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,1,13,True,0.8049999999999999,1.840102195739746
small_20nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,2,13,True,0.8049999999999999,1.848252534866333
small_20nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,3,13,True,0.8049999999999999,1.9875068664550781
medium_50nodes,ENGA,BinaryEncoding,CoverSizeMinimization,1,25,False,-1000.0,2.2666993141174316
medium_50nodes,ENGA,BinaryEncoding,CoverSizeMinimization,2,23,False,-1000.0,2.2361042499542236
medium_50nodes,ENGA,BinaryEncoding,CoverSizeMinimization,3,26,False,-1000.0,2.2596452236175537
medium_50nodes,ENGA,BinaryEncoding,ConstraintPenalty,1,0,False,-inf,0.002296924591064453
medium_50nodes,ENGA,BinaryEncoding,ConstraintPenalty,2,0,False,-inf,0.002209186553955078
medium_50nodes,ENGA,BinaryEncoding,ConstraintPenalty,3,0,False,-inf,0.0019736289978027344
medium_50nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,1,39,True,0.766,5.019304513931274
medium_50nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,2,35,True,0.79,5.239858627319336
medium_50nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,3,39,True,0.766,5.120924949645996
large_100nodes,ENGA,BinaryEncoding,CoverSizeMinimization,1,46,False,-1000.0,3.3119945526123047
large_100nodes,ENGA,BinaryEncoding,CoverSizeMinimization,2,55,False,-1000.0,3.7597854137420654
large_100nodes,ENGA,BinaryEncoding,CoverSizeMinimization,3,50,False,-1000.0,3.2643911838531494
large_100nodes,ENGA,BinaryEncoding,ConstraintPenalty,1,0,False,-inf,0.003645658493041992
large_100nodes,ENGA,BinaryEncoding,ConstraintPenalty,2,0,False,-inf,0.003870725631713867
large_100nodes,ENGA,BinaryEncoding,ConstraintPenalty,3,0,False,-inf,0.008501768112182617
large_100nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,1,83,True,0.751,11.541867971420288
large_100nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,2,84,True,0.748,11.05615496635437
large_100nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,3,81,True,0.757,11.458014011383057
scale_free_50nodes,ENGA,BinaryEncoding,CoverSizeMinimization,1,25,False,-1000.0,1.8216712474822998
scale_free_50nodes,ENGA,BinaryEncoding,CoverSizeMinimization,2,23,False,-1000.0,1.9200830459594727
scale_free_50nodes,ENGA,BinaryEncoding,CoverSizeMinimization,3,26,False,-1000.0,1.8127264976501465
scale_free_50nodes,ENGA,BinaryEncoding,ConstraintPenalty,1,0,False,-inf,0.002145051956176758
scale_free_50nodes,ENGA,BinaryEncoding,ConstraintPenalty,2,0,False,-inf,0.0017991065979003906
scale_free_50nodes,ENGA,BinaryEncoding,ConstraintPenalty,3,0,False,-inf,0.0020666122436523438
scale_free_50nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,1,24,True,0.856,3.1891565322875977
scale_free_50nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,2,24,True,0.856,3.4204750061035156
scale_free_50nodes,ENGA,BinaryEncoding,EdgeCoverageOptimization,3,24,True,0.856,3.2039408683776855
