instance,algorithm,encoding,fitness_func,run,cover_size,is_valid,fitness,time_sec
small_20nodes,TS,EdgeCentricEncoding,RepairBasedFitness,2,14,False,-15.0,0.153825044631958
small_20nodes,GA,BinaryEncoding,LinearSoftPenalty,3,13,True,-13.0,0.41227126121520996
small_20nodes,SA,BinaryEncoding,LinearSoftPenalty,3,13,True,-13.0,0.05383753776550293
small_20nodes,TS,BinaryEncoding,LinearSoftPenalty,3,13,True,-13.0,0.01674342155456543
small_20nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,3,13,True,-13.0,0.4120965003967285
small_20nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,3,14,True,-14.0,0.0555570125579834
small_20nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,3,13,True,-13.0,0.01964569091796875
small_20nodes,GA,BinaryEncoding,RepairBasedFitness,3,7,False,-13.0,0.47751927375793457
small_20nodes,SA,BinaryEncoding,RepairBasedFitness,3,9,False,-13.0,0.06360983848571777
small_20nodes,TS,BinaryEncoding,RepairBasedFitness,3,11,False,-13.0,0.027989864349365234
small_20nodes,GA,SetEncoding,LinearSoftPenalty,3,14,True,-14.0,0.29524683952331543
small_20nodes,SA,SetEncoding,LinearSoftPenalty,3,14,True,-14.0,0.0366673469543457
small_20nodes,TS,SetEncoding,LinearSoftPenalty,3,13,True,-13.0,0.00803518295288086
small_20nodes,GA,SetEncoding,AdaptiveEdgeWeighting,3,12,False,-14.0,0.3140246868133545
small_20nodes,SA,SetEncoding,AdaptiveEdgeWeighting,3,12,False,-14.0,0.04892444610595703
small_20nodes,TS,SetEncoding,AdaptiveEdgeWeighting,3,13,True,-13.0,0.011825084686279297
small_20nodes,GA,SetEncoding,RepairBasedFitness,3,4,False,-13.0,0.3555762767791748
small_20nodes,SA,SetEncoding,RepairBasedFitness,3,6,False,-13.0,0.04325222969055176
small_20nodes,TS,SetEncoding,RepairBasedFitness,3,6,False,-13.0,0.013100385665893555
small_20nodes,GA,EdgeCentricEncoding,LinearSoftPenalty,3,14,True,-14.0,1.006920576095581
small_20nodes,SA,EdgeCentricEncoding,LinearSoftPenalty,3,14,True,-14.0,0.10684967041015625
small_20nodes,TS,EdgeCentricEncoding,LinearSoftPenalty,3,15,True,-15.0,0.16119694709777832
small_20nodes,GA,EdgeCentricEncoding,AdaptiveEdgeWeighting,3,13,False,-14.0,1.0719928741455078
small_20nodes,SA,EdgeCentricEncoding,AdaptiveEdgeWeighting,3,14,False,-15.0,0.11365175247192383
small_20nodes,TS,EdgeCentricEncoding,AdaptiveEdgeWeighting,3,12,False,-16.0,0.157470703125
small_20nodes,GA,EdgeCentricEncoding,RepairBasedFitness,3,11,False,-14.0,1.056401014328003
small_20nodes,SA,EdgeCentricEncoding,RepairBasedFitness,3,12,False,-14.0,0.11967945098876953
small_20nodes,TS,EdgeCentricEncoding,RepairBasedFitness,3,14,False,-15.0,0.1617882251739502
medium_50nodes,GA,BinaryEncoding,LinearSoftPenalty,1,36,False,-37.2,0.8899800777435303
medium_50nodes,SA,BinaryEncoding,LinearSoftPenalty,1,38,False,-39.2,0.10391879081726074
medium_50nodes,TS,BinaryEncoding,LinearSoftPenalty,1,37,True,-37.0,0.13621735572814941
medium_50nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,1,35,False,-38.0,1.003014326095581
medium_50nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,1,37,False,-38.0,0.14162063598632812
medium_50nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,1,35,True,-35.0,0.17244529724121094
medium_50nodes,GA,BinaryEncoding,RepairBasedFitness,1,24,False,-35.0,1.0753633975982666
medium_50nodes,SA,BinaryEncoding,RepairBasedFitness,1,21,False,-37.0,0.13272714614868164
medium_50nodes,TS,BinaryEncoding,RepairBasedFitness,1,20,False,-38.0,0.14525938034057617
medium_50nodes,GA,SetEncoding,LinearSoftPenalty,1,37,True,-37.0,0.5868160724639893
medium_50nodes,SA,SetEncoding,LinearSoftPenalty,1,42,True,-42.0,0.10275888442993164
medium_50nodes,TS,SetEncoding,LinearSoftPenalty,1,35,True,-35.0,0.08508062362670898
medium_50nodes,GA,SetEncoding,AdaptiveEdgeWeighting,1,37,True,-37.0,0.6880841255187988
medium_50nodes,SA,SetEncoding,AdaptiveEdgeWeighting,1,40,False,-41.0,0.09471535682678223
medium_50nodes,TS,SetEncoding,AdaptiveEdgeWeighting,1,33,False,-35.0,0.07114315032958984
medium_50nodes,GA,SetEncoding,RepairBasedFitness,1,13,False,-35.0,0.8507096767425537
medium_50nodes,SA,SetEncoding,RepairBasedFitness,1,16,False,-36.0,0.12209367752075195
medium_50nodes,TS,SetEncoding,RepairBasedFitness,1,8,False,-37.0,0.15728282928466797
medium_50nodes,GA,EdgeCentricEncoding,LinearSoftPenalty,1,37,True,-37.0,3.728485345840454
medium_50nodes,SA,EdgeCentricEncoding,LinearSoftPenalty,1,38,True,-38.0,0.42519450187683105
medium_50nodes,TS,EdgeCentricEncoding,LinearSoftPenalty,1,39,True,-39.0,2.74893856048584
medium_50nodes,GA,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,36,False,-37.0,3.7538070678710938
medium_50nodes,SA,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,35,False,-38.0,0.4087533950805664
medium_50nodes,TS,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,37,False,-39.0,2.7710258960723877
medium_50nodes,GA,EdgeCentricEncoding,RepairBasedFitness,1,35,False,-37.0,3.688537836074829
medium_50nodes,SA,EdgeCentricEncoding,RepairBasedFitness,1,36,False,-39.0,0.4121592044830322
medium_50nodes,TS,EdgeCentricEncoding,RepairBasedFitness,1,36,False,-40.0,2.6338255405426025
medium_50nodes,GA,BinaryEncoding,LinearSoftPenalty,2,37,False,-38.2,0.8704478740692139
medium_50nodes,SA,BinaryEncoding,LinearSoftPenalty,2,36,False,-39.6,0.10907840728759766
medium_50nodes,TS,BinaryEncoding,LinearSoftPenalty,2,37,True,-37.0,0.13665461540222168
medium_50nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,2,35,False,-37.0,0.9191358089447021
medium_50nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,2,38,False,-40.0,0.11391472816467285
medium_50nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,2,35,True,-35.0,0.1408233642578125
medium_50nodes,GA,BinaryEncoding,RepairBasedFitness,2,22,False,-35.0,1.0761938095092773
medium_50nodes,SA,BinaryEncoding,RepairBasedFitness,2,21,False,-37.0,0.1329185962677002
medium_50nodes,TS,BinaryEncoding,RepairBasedFitness,2,21,False,-37.0,0.15348601341247559
medium_50nodes,GA,SetEncoding,LinearSoftPenalty,2,37,True,-37.0,0.5816056728363037
medium_50nodes,SA,SetEncoding,LinearSoftPenalty,2,41,True,-41.0,0.08932209014892578
medium_50nodes,TS,SetEncoding,LinearSoftPenalty,2,35,True,-35.0,0.08127427101135254
medium_50nodes,GA,SetEncoding,AdaptiveEdgeWeighting,2,35,True,-35.0,0.617943286895752
medium_50nodes,SA,SetEncoding,AdaptiveEdgeWeighting,2,40,False,-42.0,0.0991983413696289
medium_50nodes,TS,SetEncoding,AdaptiveEdgeWeighting,2,33,False,-35.0,0.07481646537780762
medium_50nodes,GA,SetEncoding,RepairBasedFitness,2,8,False,-37.0,0.8811919689178467
medium_50nodes,SA,SetEncoding,RepairBasedFitness,2,9,False,-36.0,0.12536311149597168
medium_50nodes,TS,SetEncoding,RepairBasedFitness,2,5,False,-36.0,0.12446737289428711
medium_50nodes,GA,EdgeCentricEncoding,LinearSoftPenalty,2,37,True,-37.0,3.6685233116149902
medium_50nodes,SA,EdgeCentricEncoding,LinearSoftPenalty,2,38,False,-39.2,0.41446375846862793
