instance,algorithm,encoding,fitness_func,run,cover_size,is_valid,fitness,time_sec
small_20nodes,TS,EdgeCentricEncoding,RepairBasedFitness,2,14,False,-15.0,0.15910673141479492
small_20nodes,GA,BinaryEncoding,LinearSoftPenalty,3,13,True,-13.0,0.4566526412963867
small_20nodes,SA,BinaryEncoding,LinearSoftPenalty,3,13,True,-13.0,0.04813361167907715
small_20nodes,TS,BinaryEncoding,LinearSoftPenalty,3,13,True,-13.0,0.018001317977905273
small_20nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,3,13,True,-13.0,0.4101531505584717
small_20nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,3,14,True,-14.0,0.06101489067077637
small_20nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,3,13,True,-13.0,0.03154778480529785
small_20nodes,GA,BinaryEncoding,RepairBasedFitness,3,7,False,-13.0,0.49083447456359863
small_20nodes,SA,BinaryEncoding,RepairBasedFitness,3,9,False,-13.0,0.05977272987365723
small_20nodes,TS,BinaryEncoding,RepairBasedFitness,3,11,False,-13.0,0.02826213836669922
small_20nodes,GA,SetEncoding,LinearSoftPenalty,3,14,True,-14.0,0.2724900245666504
small_20nodes,SA,SetEncoding,LinearSoftPenalty,3,14,True,-14.0,0.03518533706665039
small_20nodes,TS,SetEncoding,LinearSoftPenalty,3,13,True,-13.0,0.008626699447631836
small_20nodes,GA,SetEncoding,AdaptiveEdgeWeighting,3,12,False,-14.0,0.3112366199493408
small_20nodes,SA,SetEncoding,AdaptiveEdgeWeighting,3,12,False,-14.0,0.03884077072143555
small_20nodes,TS,SetEncoding,AdaptiveEdgeWeighting,3,13,True,-13.0,0.0082855224609375
small_20nodes,GA,SetEncoding,RepairBasedFitness,3,4,False,-13.0,0.3245387077331543
small_20nodes,SA,SetEncoding,RepairBasedFitness,3,6,False,-13.0,0.04161214828491211
small_20nodes,TS,SetEncoding,RepairBasedFitness,3,6,False,-13.0,0.011995077133178711
small_20nodes,GA,EdgeCentricEncoding,LinearSoftPenalty,3,14,True,-14.0,0.9385573863983154
small_20nodes,SA,EdgeCentricEncoding,LinearSoftPenalty,3,14,True,-14.0,0.10468339920043945
small_20nodes,TS,EdgeCentricEncoding,LinearSoftPenalty,3,15,True,-15.0,0.15538859367370605
small_20nodes,GA,EdgeCentricEncoding,AdaptiveEdgeWeighting,3,13,False,-14.0,1.099501609802246
small_20nodes,SA,EdgeCentricEncoding,AdaptiveEdgeWeighting,3,14,False,-15.0,0.12180137634277344
small_20nodes,TS,EdgeCentricEncoding,AdaptiveEdgeWeighting,3,12,False,-16.0,0.16819143295288086
small_20nodes,GA,EdgeCentricEncoding,RepairBasedFitness,3,11,False,-14.0,1.0234384536743164
small_20nodes,SA,EdgeCentricEncoding,RepairBasedFitness,3,12,False,-14.0,0.11025190353393555
small_20nodes,TS,EdgeCentricEncoding,RepairBasedFitness,3,14,False,-15.0,0.16168975830078125
medium_50nodes,GA,BinaryEncoding,LinearSoftPenalty,1,36,False,-37.2,0.8598597049713135
medium_50nodes,SA,BinaryEncoding,LinearSoftPenalty,1,38,False,-39.2,0.10298705101013184
medium_50nodes,TS,BinaryEncoding,LinearSoftPenalty,1,37,True,-37.0,0.13328981399536133
medium_50nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,1,35,False,-38.0,0.8936257362365723
medium_50nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,1,37,False,-38.0,0.11223340034484863
medium_50nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,1,35,True,-35.0,0.1313624382019043
medium_50nodes,GA,BinaryEncoding,RepairBasedFitness,1,24,False,-35.0,1.0602962970733643
medium_50nodes,SA,BinaryEncoding,RepairBasedFitness,1,21,False,-37.0,0.13518810272216797
medium_50nodes,TS,BinaryEncoding,RepairBasedFitness,1,20,False,-38.0,0.14269185066223145
medium_50nodes,GA,SetEncoding,LinearSoftPenalty,1,37,True,-37.0,0.5664839744567871
medium_50nodes,SA,SetEncoding,LinearSoftPenalty,1,42,True,-42.0,0.0878448486328125
medium_50nodes,TS,SetEncoding,LinearSoftPenalty,1,35,True,-35.0,0.0694270133972168
medium_50nodes,GA,SetEncoding,AdaptiveEdgeWeighting,1,37,True,-37.0,0.615861177444458
medium_50nodes,SA,SetEncoding,AdaptiveEdgeWeighting,1,40,False,-41.0,0.09240579605102539
medium_50nodes,TS,SetEncoding,AdaptiveEdgeWeighting,1,33,False,-35.0,0.06817150115966797
medium_50nodes,GA,SetEncoding,RepairBasedFitness,1,13,False,-35.0,0.8025703430175781
medium_50nodes,SA,SetEncoding,RepairBasedFitness,1,16,False,-36.0,0.11838531494140625
medium_50nodes,TS,SetEncoding,RepairBasedFitness,1,8,False,-37.0,0.14201021194458008
medium_50nodes,GA,EdgeCentricEncoding,LinearSoftPenalty,1,37,True,-37.0,3.5612375736236572
medium_50nodes,SA,EdgeCentricEncoding,LinearSoftPenalty,1,38,True,-38.0,0.39291906356811523
medium_50nodes,TS,EdgeCentricEncoding,LinearSoftPenalty,1,39,True,-39.0,2.6389963626861572
medium_50nodes,GA,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,36,False,-37.0,3.6012678146362305
medium_50nodes,SA,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,35,False,-38.0,0.405925989151001
medium_50nodes,TS,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,37,False,-39.0,2.6659228801727295
medium_50nodes,GA,EdgeCentricEncoding,RepairBasedFitness,1,35,False,-37.0,3.5939791202545166
medium_50nodes,SA,EdgeCentricEncoding,RepairBasedFitness,1,36,False,-39.0,0.4039335250854492
medium_50nodes,TS,EdgeCentricEncoding,RepairBasedFitness,1,36,False,-40.0,2.5779995918273926
medium_50nodes,GA,BinaryEncoding,LinearSoftPenalty,2,37,False,-38.2,0.8411538600921631
medium_50nodes,SA,BinaryEncoding,LinearSoftPenalty,2,36,False,-39.6,0.10162711143493652
medium_50nodes,TS,BinaryEncoding,LinearSoftPenalty,2,37,True,-37.0,0.13871049880981445
medium_50nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,2,35,False,-37.0,0.8798246383666992
medium_50nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,2,38,False,-40.0,0.12293553352355957
medium_50nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,2,35,True,-35.0,0.1431868076324463
medium_50nodes,GA,BinaryEncoding,RepairBasedFitness,2,22,False,-35.0,1.0640630722045898
medium_50nodes,SA,BinaryEncoding,RepairBasedFitness,2,21,False,-37.0,0.13721156120300293
